"carteira1.score";"carteira1.rank";"carteira1.ticker";"carteira1.sub.sector";"carteira1.pesos";"carteira2.score";"carteira2.rank";"carteira2.ticker";"carteira2.sub.sector";"carteira2.pesos";"carteira3.score";"carteira3.rank";"carteira3.ticker";"carteira3.sub.sector";"carteira3.pesos"
0,756773366448163;1;"EZTC3";"Construção Civil";0,0666666666666667;0,297446258371457;76;"RAPT4";"Material de Transporte";0,0666666666666667;0,678114050626313;13;"MDIA3";"Alimentos Processados";0,0666666666666667
0,747397554244669;2;"GRND3";"Tecidos. Vestuário e Calçados";0,0666666666666667;0,482128634128243;75;"GOLL4";"Transporte";0,0666666666666667;0,680923669893039;10;"ABEV3";"Bebidas";0,0666666666666667
0,7156897251131;3;"TAEE11";"Energia Elétrica";0,0666666666666667;0,552259928437544;74;"VALE3";"Mineração";0,0666666666666667;0,71129412389802;5;"ARZZ3";"Comércio";0,0666666666666667
0,712740864468966;4;"B3SA3";"Serviços Financeiros Diversos";0,0666666666666667;0,552458134390831;73;"USIM5";"Siderurgia e Metalurgia";0,0666666666666667;0,670462508673607;19;"HYPE3";"Comércio e Distribuição";0,0666666666666667
0,71129412389802;5;"ARZZ3";"Comércio";0,0666666666666667;0,564728565926153;72;"ELET3";"Energia Elétrica";0,0666666666666667;0,756773366448163;1;"EZTC3";"Construção Civil";0,0666666666666667
0,709935319192642;6;"TRPL4";"Energia Elétrica";0,0666666666666667;0,571398059779732;71;"BRPR3";"Exploração de Imóveis";0,0666666666666667;0,676429268595623;14;"YDUQ3";"Diversos";0,0666666666666667
0,694100324801929;7;"LAME4";"Comércio";0,0666666666666667;0,582253600265092;70;"GOAU4";"Siderurgia e Metalurgia";0,0666666666666667;0,7156897251131;3;"TAEE11";"Energia Elétrica";0,0666666666666667
0,693398651068372;8;"ODPV3";"Serv.Méd.Hospit..Análises e Diagnósticos";0,0666666666666667;0,58336288977675;69;"BEEF3";"Alimentos Processados";0,0666666666666667;0,679871417970452;11;"BRML3";"Exploração de Imóveis";0,0666666666666667
0,685386911254768;9;"CIEL3";"Serviços Financeiros Diversos";0,0666666666666667;0,5931622477264;68;"GGBR4";"Siderurgia e Metalurgia";0,0666666666666667;0,663904730792626;24;"WEGE3";"Máquinas e Equipamentos";0,0666666666666667
0,680923669893039;10;"ABEV3";"Bebidas";0,0666666666666667;0,598889438469575;67;"BTOW3";"Comércio";0,0666666666666667;0,671937869466464;17;"LINX3";"Programas e Serviços";0,0666666666666667
0,679871417970452;11;"BRML3";"Exploração de Imóveis";0,0666666666666667;0,600670399866004;66;"PETR4";"Petróleo. Gás e Biocombustíveis";0,0666666666666667;0,693398651068372;8;"ODPV3";"Serv.Méd.Hospit..Análises e Diagnósticos";0,0666666666666667
0,679711249221485;12;"ALUP11";"Energia Elétrica";0,0666666666666667;0,60250981787939;65;"MRFG3";"Alimentos Processados";0,0666666666666667;0,712740864468966;4;"B3SA3";"Serviços Financeiros Diversos";0,0666666666666667
0,678114050626313;13;"MDIA3";"Alimentos Processados";0,0666666666666667;0,608215868303412;64;"MGLU3";"Comércio";0,0666666666666667;0,747397554244669;2;"GRND3";"Tecidos. Vestuário e Calçados";0,0666666666666667
0,676429268595623;14;"YDUQ3";"Diversos";0,0666666666666667;0,608810206996819;63;"CSMG3";"água e Saneamento";0,0666666666666667;0,657880496857528;29;"CCRO3";"Transporte";0,0666666666666667
0,675782507417939;15;"EGIE3";"Energia Elétrica";0,0666666666666667;0,625391363438402;62;"JBSS3";"Alimentos Processados";0,0666666666666667;0,666493076230246;21;"CVCB3";"Viagens e Lazer";0,0666666666666667
